Ano;Ponto de colheita;Temperatura ºC ;Conductividade Eléctrica (μS/cm);pH ;Turbidez (NTU);O2 Dissolvido (mg/l)
;;;;;;
Novembro-2005;PT1;19;119;8.33;10.92;10.34
Novembro-2005;PT2;19;114;8.18;5.35;9.45
Novembro-2005;PT3;19;115;8.13;6.01;9.68
Novembro-2005;PT4;19;114;7.72;4.85;11.21
Novembro-2005;PT5;19;114;7.92;7.08;10.53
Novembro-2005;PT6;19;117;7.99;4.98;9.52
Novembro-2005;PT7;19;117;8.05;3.07;8.39
Novembro-2005;PT8;19;;8.37;6.28;9.76
Novembro-2005;PT9;19;123;8.32;6.09;8.22
Novembro-2005;PT10;19;122;8.29;4.62;8.33
Novembro-2005;PT11;19;123;8.26;4.4;8.45
Novembro-2005;PT12;19;123;8.5;3.95;8.45
Novembro-2005;PT13;19;123;8.58;3.93;8.45
Novembro-2005;PT14;19;124;8.26;3.31;9.45
Novembro-2005;PT15;19;124;8.13;2.2;9.45
Novembro-2005;PT16;19;124;8.5;2.24;9.45
Novembro-2005;PT17;19;123;8.13;2.22;9.45
Novembro-2005;PT18;19;123;8.05;1.94;10.91
Novembro-2005;PT19;;;;;
Setembro-2006;PT1;21;122;7.99;2.03;7.9
Setembro-2006;PT2;21;117;8.01;2.11;8.6
Setembro-2006;PT3;21;109;8.07;2.02;8.7
Setembro-2006;PT4;21;112;8.04;1.95;8
Setembro-2006;PT5;21;110;8.01;2.96;8.7
Setembro-2006;PT6;21;114;8.14;2.98;8.1
Setembro-2006;PT7;21;122;8.21;2.62;9.6
Setembro-2006;PT8;21;120;8.2;3.2;9.3
Setembro-2006;PT9;21;121;8.23;3.38;9.5
Setembro-2006;PT10;21;120;8.21;3.52;9.1
Setembro-2006;PT11;21;121;8.27;3.72;8.7
Setembro-2006;PT12;21;147;8.12;6.01;9.2
Setembro-2006;PT13;21;122;8.21;2.93;9.2
Setembro-2006;PT14;21;117;8.2;1.55;9
Setembro-2006;PT15;21;122;8.13;1.59;7.8
Setembro-2006;PT16;21;120;8.64;3.98;9.7
Setembro-2006;PT17;21;122;8.64;3.03;8.7
Setembro-2006;PT18;21;104;8.15;3.01;8.3
Setembro-2006;PT19;21;122;8.71;3.14;8.8
Novembro-2007;PT1;22;110;8.9;0.9;9.56
Novembro-2007;PT2;22;110;8.9;0.88;10.5
Novembro-2007;PT3;22;110;8.88;0.67;9.16
Novembro-2007;PT4;22;110;8.5;0.73;9.02
Novembro-2007;PT5;22;110;8.9;0.5;9.6
Novembro-2007;PT6;22;100;8.9;0.79;9.45
Novembro-2007;PT7;22;100;8.3;5.14;8.22
Novembro-2007;PT8;22;100;8.1;9.57;6.91
Novembro-2007;PT9;22;100;7.8;;6.54
Novembro-2007;PT10;22;100;7.8;;6.84
Novembro-2007;PT11;22;100;7.9;;6.84
Novembro-2007;PT12;22;100;7.7;;5.45
Novembro-2007;PT13;22;100;7.7;;7.05
Novembro-2007;PT14;22;100;7.6;;6.4
Novembro-2007;PT15;22;100;7.9;;6.91
Novembro-2007;PT16;22;100;7.8;;7.64
Novembro-2007;PT17;22;100;7.8;;8.44
