Data;Cota (m);Caudal Afluente (m3/s);Caudal Efluente (m3/s);Precipitação (mm);Evaporação (mm);Volume Evaporado Mm3;Humidade Relativa (%)
1/1/2003;316.70;1626;1393;0.0;5.2;10.37;61
1/2/2003;316.67;781;1479;1.5;2.8;5.57;87
1/3/2003;316.75;3319;1456;47.5;5.2;10.49;93
1/4/2003;316.69;62;1460;1.6;3.2;6.44;44
1/5/2003;316.75;2886;1488;23.2;5.7;11.53;87
1/6/2003;316.83;3307;1439;6.4;1.4;2.74;80
1/7/2003;316.87;2381;1445;0.0;4.1;8.37;62
1/8/2003;316.92;2624;1453;0.0;4.8;9.68;58
1/9/2003;316.98;2851;1442;5.8;6.3;12.77;68
1/10/2003;316.97;1224;1459;0.7;3.3;19.49;93
1/11/2003;317.00;2143;1438;24.0;0.7;35.95;100
1/12/2003;317.02;1958;1487;19.4;1.3;18.81;89
1/13/2003;317.06;2414;1473;0.0;2.1;4.35;81
1/14/2003;317.11;2590;1411;0.0;3.7;7.58;79
1/15/2003;317.16;2610;1429;0.0;6.5;9.95;83
1/16/2003;317.22;2878;1459;0.0;7.4;15.21;67
1/17/2003;317.27;2650;1465;0.0;5.5;11.29;87
1/18/2003;317.32;2670;1483;0.0;11.4;23.34;81
1/19/2003;317.38;2963;1536;0.0;5.9;12.12;62
1/20/2003;317.42;2407;1454;4.6;4.4;9.05;46
1/21/2003;317.43;1658;1420;0.0;7.4;15.32;63
1/22/2003;317.43;1486;1486;4.5;5.7;11.75;66
1/23/2003;317.46;2162;1446;0.0;3.7;7.55;60
1/24/2003;317.51;2679;1485;0.0;6.6;13.70;54
1/25/2003;317.53;1923;1445;1.6;6.1;12.52;79
1/26/2003;317.55;1972;1493;0.0;3.5;7.15;66
1/27/2003;317.54;1218;1457;18.6;7.2;14.97;81
1/28/2003;317.55;1689;1450;0.0;3.4;7.09;73
1/29/2003;317.58;2165;1447;15.2;4.4;9.10;95
1/30/2003;317.62;2421;1462;7.5;4.1;8.43;62
1/31/2003;317.65;2169;1449;0.0;3.9;8.06;58
2/1/2003;317.67;1917;1436;16.5;3.7;7.65;76
2/2/2003;317.71;2460;1498;0.0;3.6;7.43;66
